Y,X1,X2,X3,X4,X5,X6,X7
18047,57.1,45.2,71.5,16,-0.1,-1.9,1.9
19029,57.1,42.9,75,12,-0.2,-2.3,1.9
21035,57.1,47.4,68.3,25,-0.5,-1.9,1
22109,57.1,50.9,63.9,64,-1.4,-2.1,-0.6
28095,57.1,47.7,67.9,26,-0.3,-1.7,1.2
47037,57.1,54.3,60,331,-2.8,-3.7,-1.8
10001,57,52.2,62.2,105,-1.1,-1.9,-0.4
13251,57,42.2,75.7,10,-0.7,-1.9,0.6
26053,57,44.6,72.5,16,-12.4,-29.4,8.6
26115,57,52,62.3,101,-0.7,-1.5,0.1
28097,57,40.7,78.2,8,-1.2,-4,1.7
29163,57,44,72.8,13,0.5,-1,2.1
37049,57,51.2,63.3,73,-0.5,-1.3,0.3
13319,56.9,40.2,79.2,8,-1,-3.3,1.4
18031,56.9,45.5,70.4,17,0.6,-1.2,2.5
21021,56.9,46.5,69.2,21,-12.9,-23.8,-0.6
22125,56.9,41.1,77,10,-2.2,-4.7,0.3
26105,56.9,47.2,68.3,25,0.1,-1,1.2
29219,56.9,46.7,68.9,22,-0.1,-1.3,1.2
30061,56.9,32.2,96.1,4,**,**,**
37079,56.9,43.8,72.7,13,0,-1.8,1.7
41033,56.9,51.4,62.9,83,-0.8,-1.6,0.1
48367,56.9,51,63.4,71,-1.3,-2.3,-0.3
48071,56.9,44.8,71.1,17,-1.3,-3,0.5
50017,56.9,46.2,69.5,21,0.1,-1.5,1.7
1077,56.8,51,63.1,71,0.3,-0.5,1.1
13031,56.8,48.1,66.5,32,-0.1,-1.2,0.9
13245,56.8,52.1,61.7,113,-0.9,-1.7,-0.1
17163,56.8,53,60.9,165,-1.1,-1.6,-0.5
28149,56.8,48,66.8,31,0,-1.3,1.4
30053,56.8,45.3,70.8,18,-0.9,-1.9,0
37019,56.8,51.7,62.4,101,-1.2,-1.9,-0.6
37131,56.8,45.7,70.3,19,-0.8,-2.4,0.7
13197,56.7,37.2,83.3,6,**,**,**
13169,56.7,45.3,70.2,18,-0.3,-1.8,1.2
17159,56.7,43.7,72.9,13,0.2,-1.5,1.9
17195,56.7,49.5,64.9,45,0.9,-0.2,2
24011,56.7,46.5,68.7,22,-1.1,-2.2,0.1
26095,56.7,37.5,83.9,6,-0.6,-3.2,2.2
29039,56.7,43.5,73.5,13,-0.6,-2.1,1
38067,56.7,38,82.9,7,-1,-3.6,1.6
39133,56.7,51.7,62,100,-0.4,-1.4,0.5
40051,56.7,48.4,66,35,-2.5,-4.5,-0.4
47011,56.7,50.7,63.2,67,-1.1,-1.8,-0.4
48385,56.7,32.4,98.5,4,**,**,**
51187,56.7,46.8,68.1,24,-1.2,-2.6,0.2
5081,56.6,42.1,75.1,11,-1.7,-3.3,-0.2
12083,56.6,53.9,59.5,347,-1.1,-1.5,-0.7
18011,56.6,48,66.3,31,-0.7,-1.7,0.4
